,Invoice Date,TRY Price,TRY-USD fx rate
0,2021-01-01,105,7.4392
1,2021-01-02,134,7.4392
2,2021-01-03,137,7.441906
3,2021-01-04,119,7.427
4,2021-01-05,120,7.3902
5,2021-01-06,155,7.3059
6,2021-01-07,138,7.33475
7,2021-01-08,116,7.3664
8,2021-01-09,107,7.3762
9,2021-01-10,119,7.35928
10,2021-01-11,118,7.4773
11,2021-01-12,121,7.4532
12,2021-01-13,112,7.402361
13,2021-01-14,130,7.371467
14,2021-01-15,122,7.4689
15,2021-01-16,130,7.4753
16,2021-01-17,126,7.470175
17,2021-01-18,128,7.4866
18,2021-01-19,121,7.47039
19,2021-01-20,123,7.4157
20,2021-01-21,134,7.370705
21,2021-01-22,125,7.4145
22,2021-01-23,129,7.4145
23,2021-01-24,124,7.418845
24,2021-01-25,122,7.412
25,2021-01-26,122,7.352905
26,2021-01-27,116,7.396925
27,2021-01-28,132,7.351628
28,2021-01-29,117,7.3149
29,2021-01-30,128,7.3149
30,2021-01-31,105,7.2828
31,2021-02-01,105,7.193457
32,2021-02-02,111,7.19761
33,2021-02-03,122,7.1616
34,2021-02-04,128,7.137615
35,2021-02-05,140,7.0538
36,2021-02-06,118,7.0538
37,2021-02-07,123,7.059625
38,2021-02-08,107,7.0813
39,2021-02-09,115,7.0679
40,2021-02-10,120,7.055386
41,2021-02-11,125,7.028885
42,2021-02-12,130,7.0353
43,2021-02-13,129,7.0353
44,2021-02-14,128,7.033945
45,2021-02-15,112,6.961755
46,2021-02-16,123,6.9878
47,2021-02-17,124,6.97324
48,2021-02-18,126,6.9739
49,2021-02-19,121,6.9637
50,2021-02-20,114,6.9637
51,2021-02-21,130,6.983925
52,2021-02-22,130,7.019
53,2021-02-23,111,7.1085
54,2021-02-24,134,7.168089
55,2021-02-25,119,7.345
56,2021-02-26,122,7.4253
57,2021-02-27,123,7.4253
58,2021-02-28,117,7.421875
59,2021-03-01,110,7.2812
60,2021-03-02,112,7.34881
61,2021-03-03,119,7.462025
62,2021-03-04,138,7.5289
63,2021-03-05,129,7.5388
64,2021-03-06,122,7.5388
65,2021-03-07,131,7.520265
66,2021-03-08,115,7.77044
67,2021-03-09,118,7.621583
68,2021-03-10,100,7.505
69,2021-03-11,114,7.480556
70,2021-03-12,131,7.5636
71,2021-03-13,116,7.5636
72,2021-03-14,133,7.565
73,2021-03-15,125,7.533095
74,2021-03-16,117,7.4932
75,2021-03-17,123,7.4987
76,2021-03-18,123,7.3243
77,2021-03-19,118,7.2191
78,2021-03-20,115,7.2191
79,2021-03-21,129,8.112904
80,2021-03-22,118,7.8305
81,2021-03-23,130,7.946095
82,2021-03-24,135,7.915
83,2021-03-25,138,7.9555
84,2021-03-26,119,8.1317
85,2021-03-27,124,8.1317
86,2021-03-28,113,8.1232
87,2021-03-29,146,8.266667
88,2021-03-30,128,8.3295
89,2021-03-31,124,8.2599
90,2021-04-01,119,8.124995
91,2021-04-02,111,8.16275
92,2021-04-03,130,8.16275
93,2021-04-04,127,8.189
94,2021-04-05,132,8.12226
95,2021-04-06,116,8.1499
96,2021-04-07,115,8.16404
97,2021-04-08,133,8.144995
98,2021-04-09,125,8.1674
99,2021-04-10,132,8.162
100,2021-04-11,122,8.179343
101,2021-04-12,145,8.1591
102,2021-04-13,108,8.11183
103,2021-04-14,135,8.0853
104,2021-04-15,126,8.0338
105,2021-04-16,138,8.07295
106,2021-04-17,100,8.07295
107,2021-04-18,115,8.080607
108,2021-04-19,117,8.0954
109,2021-04-20,144,8.115565
110,2021-04-21,122,8.200225
111,2021-04-22,132,8.3256
112,2021-04-23,113,8.3875
113,2021-04-24,127,8.3786
114,2021-04-25,123,8.4189
115,2021-04-26,132,8.2953
116,2021-04-27,130,8.2271
117,2021-04-28,122,8.204506
118,2021-04-29,126,8.2063
119,2021-04-30,107,8.2884
120,2021-05-01,113,8.2884
121,2021-05-02,133,8.291913
122,2021-05-03,137,8.264
123,2021-05-04,126,8.3243
124,2021-05-05,126,8.334
125,2021-05-06,122,8.2858
126,2021-05-07,134,8.2371
127,2021-05-08,119,8.2371
128,2021-05-09,114,8.2435
129,2021-05-10,139,8.275777
130,2021-05-11,123,8.2945
131,2021-05-12,117,8.4379
132,2021-05-13,122,8.5044
133,2021-05-14,128,8.447
134,2021-05-15,113,8.447
135,2021-05-16,127,8.4501
136,2021-05-17,126,8.3101
137,2021-05-18,122,8.361
138,2021-05-19,134,8.4156
139,2021-05-20,126,8.3827
140,2021-05-21,124,8.4177
141,2021-05-22,144,8.4177
142,2021-05-23,116,8.4212
143,2021-05-24,124,8.384145
144,2021-05-25,128,8.457045
145,2021-05-26,106,8.45603
146,2021-05-27,137,8.506
147,2021-05-28,123,8.5601
148,2021-05-29,98,8.5601
149,2021-05-30,118,8.57876
150,2021-05-31,129,8.4928
151,2021-06-01,126,8.6037
152,2021-06-02,122,8.5951
153,2021-06-03,118,8.7118
154,2021-06-04,134,8.6681
155,2021-06-05,140,8.6681
156,2021-06-06,106,8.678
157,2021-06-07,134,8.613325
158,2021-06-08,132,8.6047
159,2021-06-09,121,8.589229
160,2021-06-10,112,8.4303
161,2021-06-11,133,8.3868
162,2021-06-12,119,8.3868
163,2021-06-13,117,8.38843
164,2021-06-14,121,8.4648
165,2021-06-15,141,8.5609
166,2021-06-16,113,8.625
167,2021-06-17,113,8.72
168,2021-06-18,137,8.7419
169,2021-06-19,137,8.7419
170,2021-06-20,120,8.76083
171,2021-06-21,121,8.781466
172,2021-06-22,121,8.6509
173,2021-06-23,136,8.640235
174,2021-06-24,134,8.70389
175,2021-06-25,129,8.7659
176,2021-06-26,132,8.7659
177,2021-06-27,119,8.75767
178,2021-06-28,140,8.6886
179,2021-06-29,131,8.733255
180,2021-06-30,124,8.703825
181,2021-07-01,106,8.674525
182,2021-07-02,116,8.6899
183,2021-07-03,112,8.6899
184,2021-07-04,138,8.6934
185,2021-07-05,122,8.665
186,2021-07-06,112,8.6853
187,2021-07-07,131,8.68264
188,2021-07-08,131,8.6869
189,2021-07-09,132,8.6607
190,2021-07-10,126,8.6607
191,2021-07-11,141,8.6594
192,2021-07-12,141,8.6371
193,2021-07-13,122,8.6242
194,2021-07-14,131,8.588675
195,2021-07-15,133,8.56846
196,2021-07-16,128,8.523
197,2021-07-17,140,8.523
198,2021-07-18,147,8.539561
199,2021-07-19,154,8.5851
200,2021-07-20,126,8.5779
201,2021-07-21,147,8.5606
202,2021-07-22,122,8.5615
203,2021-07-23,137,8.5559
204,2021-07-24,123,8.5554
205,2021-07-25,124,8.5535
206,2021-07-26,100,8.56
207,2021-07-27,118,8.5611
208,2021-07-28,116,8.560271
209,2021-07-29,126,8.4576
210,2021-07-30,145,8.454
211,2021-07-31,137,8.454
212,2021-08-01,127,8.443449
213,2021-08-02,130,8.3548
214,2021-08-03,117,8.4062
215,2021-08-04,125,8.481605
216,2021-08-05,119,8.5306
217,2021-08-06,109,8.6311
218,2021-08-07,124,8.628
219,2021-08-08,103,8.6307
220,2021-08-09,135,8.65349
221,2021-08-10,123,8.6008
222,2021-08-11,111,8.6303
223,2021-08-12,117,8.5624
224,2021-08-13,110,8.5241
225,2021-08-14,114,8.5241
226,2021-08-15,120,8.5172
227,2021-08-16,119,8.460185
228,2021-08-17,127,8.433892
229,2021-08-18,120,8.459667
230,2021-08-19,129,8.5358
231,2021-08-20,113,8.4941
232,2021-08-21,139,8.4941
233,2021-08-22,114,8.4958
234,2021-08-23,125,8.431839
235,2021-08-24,123,8.4168
236,2021-08-25,118,8.381195
237,2021-08-26,122,8.38677
238,2021-08-27,120,8.3546
239,2021-08-28,117,8.3546
240,2021-08-29,118,8.357077
241,2021-08-30,123,8.376255
242,2021-08-31,112,8.318944
243,2021-09-01,115,8.29734
244,2021-09-02,129,8.2862
245,2021-09-03,149,8.3228
246,2021-09-04,126,8.3228
247,2021-09-05,100,8.322379
248,2021-09-06,125,8.2848
249,2021-09-07,120,8.3499
250,2021-09-08,114,8.4772
251,2021-09-09,136,8.444916
252,2021-09-10,146,8.4695
253,2021-09-11,115,8.4695
254,2021-09-12,114,8.4716
255,2021-09-13,121,8.4271
256,2021-09-14,143,8.43674
257,2021-09-15,112,8.4308
258,2021-09-16,116,8.537191
259,2021-09-17,121,8.644675
260,2021-09-18,100,8.644675
261,2021-09-19,141,8.644505
262,2021-09-20,125,8.6733
263,2021-09-21,121,8.6256
264,2021-09-22,124,8.6613
265,2021-09-23,117,8.77128
266,2021-09-24,132,8.8825
267,2021-09-25,136,8.8825
268,2021-09-26,105,8.86486
269,2021-09-27,125,8.8192
270,2021-09-28,141,8.871937
271,2021-09-29,105,8.924069
272,2021-09-30,96,8.8899
273,2021-10-01,132,8.861
274,2021-10-02,121,8.861
275,2021-10-03,137,8.8576
276,2021-10-04,124,8.8521
277,2021-10-05,129,8.869
278,2021-10-06,139,8.87725
279,2021-10-07,124,8.8783
280,2021-10-08,132,8.97
281,2021-10-09,114,8.9767
282,2021-10-10,126,8.962866
283,2021-10-11,119,9.000604
284,2021-10-12,129,9.042102
285,2021-10-13,130,9.151955
286,2021-10-14,123,9.1951
287,2021-10-15,141,9.2684
288,2021-10-16,133,9.2684
289,2021-10-17,109,9.26023
290,2021-10-18,112,9.3441
291,2021-10-19,120,9.3104
292,2021-10-20,132,9.22254
293,2021-10-21,115,9.5375
294,2021-10-22,121,9.5989
295,2021-10-23,134,9.5989
296,2021-10-24,110,9.72164
297,2021-10-25,129,9.5917
298,2021-10-26,148,9.543571
299,2021-10-27,98,9.512577
300,2021-10-28,147,9.535265
301,2021-10-29,124,9.608
302,2021-10-30,141,9.608
303,2021-10-31,123,9.591967
304,2021-11-01,136,9.5456
305,2021-11-02,126,9.605795
306,2021-11-03,133,9.6446
307,2021-11-04,123,9.704175
308,2021-11-05,143,9.6911
309,2021-11-06,115,9.6911
310,2021-11-07,132,9.7139
311,2021-11-08,136,9.69302
312,2021-11-09,104,9.7322
313,2021-11-10,122,9.8481
314,2021-11-11,126,9.929035
315,2021-11-12,145,9.986405
316,2021-11-13,126,9.986405
317,2021-11-14,131,10.03261
318,2021-11-15,107,10.06494
319,2021-11-16,127,10.3472
320,2021-11-17,124,10.7545
321,2021-11-18,102,11.068515
322,2021-11-19,121,11.2312
323,2021-11-20,127,11.2312
324,2021-11-21,128,11.153185
325,2021-11-22,136,11.4111
326,2021-11-23,128,12.80833
327,2021-11-24,159,11.919
328,2021-11-25,129,11.9893
329,2021-11-26,119,12.4253
330,2021-11-27,134,12.4253
331,2021-11-28,119,12.378954
332,2021-11-29,120,12.746599
333,2021-11-30,120,13.5065
334,2021-12-01,131,13.433188
335,2021-12-02,94,13.7191
336,2021-12-03,133,13.7027
337,2021-12-04,145,13.7027
338,2021-12-05,119,13.69275
339,2021-12-06,136,13.816128
340,2021-12-07,132,13.5255
341,2021-12-08,129,13.66513
342,2021-12-09,117,13.7787
343,2021-12-10,118,13.8801
344,2021-12-11,140,13.8801
345,2021-12-12,115,13.86633
346,2021-12-13,111,13.827105
347,2021-12-14,141,14.3828
348,2021-12-15,134,14.8187
349,2021-12-16,141,15.686685
350,2021-12-17,111,16.42414
351,2021-12-18,104,16.42414
352,2021-12-19,135,16.6682
353,2021-12-20,135,13.4809
354,2021-12-21,124,12.353865
355,2021-12-22,117,12.0373
356,2021-12-23,133,11.432452
357,2021-12-24,105,10.69521
358,2021-12-25,132,10.69521
359,2021-12-26,131,10.906427
360,2021-12-27,114,11.632675
361,2021-12-28,125,11.85365
362,2021-12-29,133,12.6453
363,2021-12-30,119,13.2955
364,2021-12-31,127,13.3211
365,2022-01-01,101,13.3211
366,2022-01-02,124,13.453154
367,2022-01-03,109,13.062
368,2022-01-04,129,13.4165
369,2022-01-05,122,13.693
370,2022-01-06,127,13.7871
371,2022-01-07,137,13.875
372,2022-01-08,110,13.8745
373,2022-01-09,121,13.799667
374,2022-01-10,141,13.814
375,2022-01-11,144,13.7655
376,2022-01-12,138,13.2447
377,2022-01-13,122,13.568863
378,2022-01-14,130,13.5264
379,2022-01-15,106,13.5264
380,2022-01-16,93,13.520234
381,2022-01-17,116,13.4581
382,2022-01-18,136,13.5521
383,2022-01-19,139,13.430465
384,2022-01-20,120,13.36
385,2022-01-21,126,13.4481
386,2022-01-22,131,13.4481
387,2022-01-23,117,13.444165
388,2022-01-24,127,13.4703
389,2022-01-25,137,13.4797
390,2022-01-26,121,13.5825
391,2022-01-27,102,13.6226
392,2022-01-28,145,13.5532
393,2022-01-29,137,13.5532
394,2022-01-30,119,13.515
395,2022-01-31,120,13.3008
396,2022-02-01,117,13.383
397,2022-02-02,128,13.4706
398,2022-02-03,115,13.5712
399,2022-02-04,114,13.5687
400,2022-02-05,143,13.5687
401,2022-02-06,117,13.564714
402,2022-02-07,117,13.595267
403,2022-02-08,113,13.58253
404,2022-02-09,118,13.5485
405,2022-02-10,140,13.4969
406,2022-02-11,120,13.5201
407,2022-02-12,129,13.5201
408,2022-02-13,138,13.522675
409,2022-02-14,126,13.5958
410,2022-02-15,126,13.6075
411,2022-02-16,109,13.595455
412,2022-02-17,119,13.532067
413,2022-02-18,146,13.65
414,2022-02-19,123,13.65
415,2022-02-20,120,13.625417
416,2022-02-21,124,13.676885
417,2022-02-22,122,13.8061
418,2022-02-23,128,13.8255
419,2022-02-24,130,14.042625
420,2022-02-25,131,13.8238
421,2022-02-26,121,13.8238
422,2022-02-27,102,14.072485
423,2022-02-28,111,13.841155
424,2022-03-01,129,13.892575
425,2022-03-02,116,13.999
426,2022-03-03,121,14.1127
427,2022-03-04,125,14.1865
428,2022-03-05,128,14.1865
