,shopping_mall,date for query,Latitude,Longitude,invoice_no,Temp in F
0,Cevahir AVM,2021-01-15,41.06322866,28.99340091,221,38.3
1,Cevahir AVM,2021-02-15,41.06322866,28.99340091,154,34.4
2,Cevahir AVM,2021-03-15,41.06322866,28.99340091,193,54.7
3,Cevahir AVM,2021-04-15,41.06322866,28.99340091,183,52.0
4,Cevahir AVM,2021-05-15,41.06322866,28.99340091,224,66.8
5,Cevahir AVM,2021-06-15,41.06322866,28.99340091,202,62.8
6,Cevahir AVM,2021-07-15,41.06322866,28.99340091,207,81.2
7,Cevahir AVM,2021-08-15,41.06322866,28.99340091,189,77.0
8,Cevahir AVM,2021-09-15,41.06322866,28.99340091,177,71.6
9,Cevahir AVM,2021-10-15,41.06322866,28.99340091,215,64.1
10,Cevahir AVM,2021-11-15,41.06322866,28.99340091,185,55.2
11,Cevahir AVM,2021-12-15,41.06322866,28.99340091,215,43.2
12,Cevahir AVM,2022-01-15,41.06322866,28.99340091,183,41.4
13,Cevahir AVM,2022-02-15,41.06322866,28.99340091,164,40.8
14,Cevahir AVM,2022-03-15,41.06322866,28.99340091,207,39.0
15,Cevahir AVM,2022-04-15,41.06322866,28.99340091,189,55.8
16,Cevahir AVM,2022-05-15,41.06322866,28.99340091,190,65.1
17,Cevahir AVM,2022-06-15,41.06322866,28.99340091,180,70.7
18,Cevahir AVM,2022-07-15,41.06322866,28.99340091,193,75.6
19,Cevahir AVM,2022-08-15,41.06322866,28.99340091,189,73.3
20,Cevahir AVM,2022-09-15,41.06322866,28.99340091,197,74.3
21,Cevahir AVM,2022-10-15,41.06322866,28.99340091,179,61.6
22,Cevahir AVM,2022-11-15,41.06322866,28.99340091,188,56.8
23,Cevahir AVM,2022-12-15,41.06322866,28.99340091,172,55.7
24,Cevahir AVM,2023-01-15,41.06322866,28.99340091,180,48.7
25,Cevahir AVM,2023-02-15,41.06322866,28.99340091,162,42.0
26,Cevahir AVM,2023-03-15,41.06322866,28.99340091,53,50.3
27,Emaar Square Mall,2021-01-15,41.0043423,29.07103758,178,38.7
28,Emaar Square Mall,2021-02-15,41.0043423,29.07103758,150,34.7
29,Emaar Square Mall,2021-03-15,41.0043423,29.07103758,181,55.3
30,Emaar Square Mall,2021-04-15,41.0043423,29.07103758,190,53.1
31,Emaar Square Mall,2021-05-15,41.0043423,29.07103758,207,67.7
32,Emaar Square Mall,2021-06-15,41.0043423,29.07103758,186,63.0
33,Emaar Square Mall,2021-07-15,41.0043423,29.07103758,202,80.6
34,Emaar Square Mall,2021-08-15,41.0043423,29.07103758,176,76.5
35,Emaar Square Mall,2021-09-15,41.0043423,29.07103758,179,71.5
36,Emaar Square Mall,2021-10-15,41.0043423,29.07103758,184,64.2
37,Emaar Square Mall,2021-11-15,41.0043423,29.07103758,176,55.1
38,Emaar Square Mall,2021-12-15,41.0043423,29.07103758,213,43.7
39,Emaar Square Mall,2022-01-15,41.0043423,29.07103758,164,42.1
40,Emaar Square Mall,2022-02-15,41.0043423,29.07103758,145,41.9
41,Emaar Square Mall,2022-03-15,41.0043423,29.07103758,192,39.4
42,Emaar Square Mall,2022-04-15,41.0043423,29.07103758,193,57.0
43,Emaar Square Mall,2022-05-15,41.0043423,29.07103758,166,65.3
44,Emaar Square Mall,2022-06-15,41.0043423,29.07103758,191,71.0
45,Emaar Square Mall,2022-07-15,41.0043423,29.07103758,181,76.2
46,Emaar Square Mall,2022-08-15,41.0043423,29.07103758,199,74.0
47,Emaar Square Mall,2022-09-15,41.0043423,29.07103758,172,74.4
48,Emaar Square Mall,2022-10-15,41.0043423,29.07103758,195,62.5
49,Emaar Square Mall,2022-11-15,41.0043423,29.07103758,170,56.9
50,Emaar Square Mall,2022-12-15,41.0043423,29.07103758,191,55.4
51,Emaar Square Mall,2023-01-15,41.0043423,29.07103758,204,49.1
52,Emaar Square Mall,2023-02-15,41.0043423,29.07103758,180,42.0
53,Emaar Square Mall,2023-03-15,41.0043423,29.07103758,46,50.5
54,Forum Istanbul,2021-01-15,41.04766359,28.89684451,200,38.5
55,Forum Istanbul,2021-02-15,41.04766359,28.89684451,170,34.2
56,Forum Istanbul,2021-03-15,41.04766359,28.89684451,183,54.0
57,Forum Istanbul,2021-04-15,41.04766359,28.89684451,192,53.1
58,Forum Istanbul,2021-05-15,41.04766359,28.89684451,215,67.0
59,Forum Istanbul,2021-06-15,41.04766359,28.89684451,198,63.4
60,Forum Istanbul,2021-07-15,41.04766359,28.89684451,187,82.0
61,Forum Istanbul,2021-08-15,41.04766359,28.89684451,180,77.8
62,Forum Istanbul,2021-09-15,41.04766359,28.89684451,181,72.0
63,Forum Istanbul,2021-10-15,41.04766359,28.89684451,216,64.7
64,Forum Istanbul,2021-11-15,41.04766359,28.89684451,167,55.7
65,Forum Istanbul,2021-12-15,41.04766359,28.89684451,164,43.2
66,Forum Istanbul,2022-01-15,41.04766359,28.89684451,200,41.4
67,Forum Istanbul,2022-02-15,41.04766359,28.89684451,168,40.5
68,Forum Istanbul,2022-03-15,41.04766359,28.89684451,183,39.2
69,Forum Istanbul,2022-04-15,41.04766359,28.89684451,205,56.9
70,Forum Istanbul,2022-05-15,41.04766359,28.89684451,209,65.8
71,Forum Istanbul,2022-06-15,41.04766359,28.89684451,165,72.4
72,Forum Istanbul,2022-07-15,41.04766359,28.89684451,182,76.6
73,Forum Istanbul,2022-08-15,41.04766359,28.89684451,204,73.4
74,Forum Istanbul,2022-09-15,41.04766359,28.89684451,169,73.9
75,Forum Istanbul,2022-10-15,41.04766359,28.89684451,203,61.7
76,Forum Istanbul,2022-11-15,41.04766359,28.89684451,215,57.0
77,Forum Istanbul,2022-12-15,41.04766359,28.89684451,178,55.8
78,Forum Istanbul,2023-01-15,41.04766359,28.89684451,183,49.1
79,Forum Istanbul,2023-02-15,41.04766359,28.89684451,177,42.3
80,Forum Istanbul,2023-03-15,41.04766359,28.89684451,53,49.9
81,Istinye Park,2021-01-15,41.11050673,29.03325188,381,37.8
82,Istinye Park,2021-02-15,41.11050673,29.03325188,342,34.7
83,Istinye Park,2021-03-15,41.11050673,29.03325188,365,55.1
84,Istinye Park,2021-04-15,41.11050673,29.03325188,340,50.4
85,Istinye Park,2021-05-15,41.11050673,29.03325188,360,66.4
86,Istinye Park,2021-06-15,41.11050673,29.03325188,339,62.1
87,Istinye Park,2021-07-15,41.11050673,29.03325188,417,80.2
88,Istinye Park,2021-08-15,41.11050673,29.03325188,350,75.9
89,Istinye Park,2021-09-15,41.11050673,29.03325188,357,71.1
90,Istinye Park,2021-10-15,41.11050673,29.03325188,370,63.3
91,Istinye Park,2021-11-15,41.11050673,29.03325188,410,54.6
92,Istinye Park,2021-12-15,41.11050673,29.03325188,388,43.2
93,Istinye Park,2022-01-15,41.11050673,29.03325188,412,41.5
